Course Dept,Course Title,Course Number,Section Number,Term,AU,Instructor,A Range,B Range,C Range,D Range,F Range, Avg Grade
ACCTCY,INTRO TO ACCOUNTING,2010,01,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",37,51,22,4,1,3.019
ACCTCY,ACCOUNTING 1,2036,01,FS2007,CBUSN,"CUNNINGHAM,BILLIE M",85,144,76,14,7,2.877
ACCTCY,ACCOUNTING 1,2036,02,FS2007,CBUSN,"CUNNINGHAM,BILLIE M",161,161,60,22,4,3.11
ACCTCY,ACCOUNTING 1,2036,03,FS2007,CBUSN,"HUANG,XIAOCHUAN",17,23,16,4,1,2.836
ACCTCY,ACCOUNTING 2,2037,01,FS2007,CBUSN,"PRESTIGIACOMO,CARL CHRI",50,91,77,30,11,2.533
ACCTCY,ACCOUNTING 2,2037,02,FS2007,CBUSN,"PRESTIGIACOMO,CARL CHRI",38,81,62,10,5,2.693
ACCTCY,HNR:ACCOUNTING 1 GH,2136H,01,FS2007,CBUSN,"NIKOLAI,LOREN ALFRED",12,5,2,1,0,3.385
ACCTCY,HNR:ACCOUNTING 1 GH,2136H,02,FS2007,CBUSN,"NIKOLAI,LOREN ALFRED",18,2,0,0,0,3.81
ACCTCY,COMP-BASED DATA SYSTEMS,2258,01,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",15,14,6,1,1,3.124
ACCTCY,COMP-BASED DATA SYSTEMS,2258,02,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",8,14,7,1,0,2.977
ACCTCY,COMP-BASED DATA SYSTEMS,2258,03,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",5,16,7,0,1,2.838
ACCTCY,COMP-BASED DATA SYSTEMS,2258,04,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",5,14,8,1,0,2.929
ACCTCY,COMP-BASED DATA SYSTEMS,2258,05,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",12,12,6,0,0,3.21
ACCTCY,COMP-BASED DATA SYSTEMS,2258,06,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",12,14,7,0,0,3.197
ACCTCY,COMP-BASED DATA SYSTEMS,2258,07,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",11,13,8,2,0,2.979
ACCTCY,COMP-BASED DATA SYSTEMS,2258,08,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",13,12,4,0,0,3.3
ACCTCY,COMP-BASED DATA SYSTEMS,2258,09,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",8,23,5,1,1,2.963
ACCTCY,COMP-BASED DATA SYSTEMS,2258,10,FS2007,CBUSN,"VOLK,JESSICA LYN",21,14,3,0,0,3.474
ACCTCY,COMP-BASED DATA SYSTEMS,2258,10,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",21,14,3,0,0,3.474
ACCTCY,COMP-BASED DATA SYSTEMS,2258,11,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",2,25,10,1,0,2.705
ACCTCY,COMP-BASED DATA SYSTEMS,2258,12,FS2007,CBUSN,"HALL,JOHN MICHAEL",9,12,4,2,1,2.95
ACCTCY,COMP-BASED DATA SYSTEMS,2258,12,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",9,12,4,2,1,2.95
ACCTCY,COMP-BASED DATA SYSTEMS,2258,13,FS2007,CBUSN,"CASTELLANO,MARY HANNAH",7,10,7,2,0,2.846
ACCTCY,COMP-BASED DATA SYSTEMS,2258,13,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",7,10,7,2,0,2.846
ACCTCY,COMP-BASED DATA SYSTEMS,2258,14,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",1,10,14,1,0,2.504
ACCTCY,COMP-BASED DATA SYSTEMS,2258,14,FS2007,CBUSN,"FRAZEE,KATHRYN ELISE",1,10,14,1,0,2.504
ACCTCY,FIN ACCT THRY & PRACT 1,3326,01,FS2007,CBUSN,"ZHANG,HONGMEI",14,19,2,0,0,3.283
ACCTCY,FIN ACCT THRY & PRACT 1,3326,02,FS2007,CBUSN,"ZHANG,HONGMEI",14,15,6,0,0,3.143
ACCTCY,FIN ACCT THRY & PRACT 1,3326,03,FS2007,CBUSN,"KLEEN,PENNY LYNN",13,14,5,0,0,3.259
ACCTCY,FIN ACCT THRY & PRACT 1,3326,04,FS2007,CBUSN,"KLEEN,PENNY LYNN",4,24,3,0,0,3.013
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,01,FS2007,CBUSN,"WHEELER,PATRICK RANDOLP",32,5,0,0,0,3.816
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,02,FS2007,CBUSN,"MAULDIN,ELAINE G",24,11,0,0,0,3.591
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,03,FS2007,CBUSN,"MAULDIN,ELAINE G",11,11,1,0,0,3.461
ACCTCY,COST & MANAGERIAL ACCT,3347,01,FS2007,CBUSN,"PRATHER-KINSEY,JENICE",5,6,5,0,0,3.019
ACCTCY,COST & MANAGERIAL ACCT,3347,02,FS2007,CBUSN,"PRATHER-KINSEY,JENICE",11,7,2,1,0,3.319
ACCTCY,INTRODUCTION TO TAXATION,4353,01,FS2007,CBUSN,"MOSER,WILLIAM JOSEPH",11,19,8,1,2,2.863
ACCTCY,INTRODUCTION TO TAXATION,4353,02,FS2007,CBUSN,"MOSER,WILLIAM JOSEPH",17,18,5,0,2,3.15
ACCTCY,FINANCIAL ACCT CONCEPTS,4356,01,FS2007,CBUSN,"PRESTIGIACOMO,CARL CHRI",7,16,18,5,1,2.432
ACCTCY,FINANCIAL ACCT CONCEPTS,4356,02,FS2007,CBUSN,"PRESTIGIACOMO,CARL CHRI",2,24,21,5,0,2.454
ACCTCY,FINANCIAL ACCT CONCEPTS,4356,03,FS2007,CBUSN,"KLEEN,PENNY LYNN",6,10,22,4,1,2.414
ACCTCY,ACCOUNTING F/MANAGERS,7310,01,FS2007,CBUSN,"CUNNINGHAM,BILLIE M",20,15,1,0,0,3.528
ACCTCY,GOVTL ACNTNG & BUDGETING,7365,01,FS2007,CBUSN,"HOCKMAN,KRISTEN MICHELL",20,11,1,0,0,3.594
ACCTCY,TAX OF BUSINESS ENTITIES,7373,01,FS2007,CBUSN,"PEREIRA,RAYNOLDE",23,6,0,0,0,3.793
ACCTCY,AUDIT THEORY & PRACT 1,7384,01,FS2007,CBUSN,"FARBER,DAVID B",25,4,0,0,0,3.862
ACCTCY,AUDIT THEORY & PRACT 1,7384,02,FS2007,CBUSN,"FARBER,DAVID B",15,5,0,0,0,3.75
ACCTCY,TAX RESEARCH & PLANNING,8423,01,FS2007,CBUSN,"PEREIRA,RAYNOLDE",24,6,0,0,0,3.8
ACCTCY,FIN ACCT THEORY & PRAC 3,8436,01,FS2007,CBUSN,"SHAW,KENNETH WILLIAM",26,30,2,0,0,3.414
ACCTCY,FIN ACCT THEORY & PRAC 3,8436,02,FS2007,CBUSN,"SHAW,KENNETH WILLIAM",21,23,2,0,0,3.413
ACCTCY,FORENSIC ACCOUNTING,8438,01,FS2007,CBUSN,"ARUNACHALAM,VAIRAM",21,11,0,0,0,3.656
ACCTCY,FORENSIC ACCOUNTING,8438,02,FS2007,CBUSN,"ARUNACHALAM,VAIRAM",19,10,0,0,0,3.655
ACCTCY,ACCT & BSNSS STRATG ANLY,8450,01,FS2007,CBUSN,"KHURANA,INDER K",22,17,0,0,0,3.564
AERO,FOUNDTN U.S. AIR FORCE,1100,01,FS2007,CAS,"UNGER,BRENT J",16,3,0,0,0,3.732
AERO,EVOL USAF AIR & SPC PWR,2100,01,FS2007,CAS,"TULBERG JR,ELLSWORTH E",14,0,0,0,0,4.0
AERO,AF LEADERSHIP STUDIES,3100,01,FS2007,CAS,"ROUNSAVALL,TAMMY D",12,2,0,0,0,3.793
AERO,NTL SECR AFFR/PRP F/DUTY,4100,01,FS2007,CAS,"TULBERG JR,ELLSWORTH E",18,0,0,0,0,3.983
AGRIC,CMPTNG & INFORMTN SYST 1,1111,01,FS2007,CAFNR,"STRID,MARC BENNETT",6,4,8,0,0,2.889
AGRIC,CMPTNG & INFORMTN SYST 1,1111,02,FS2007,CAFNR,"STRID,MARC BENNETT",7,9,2,1,0,3.158
AGRIC,CMPTNG & INFORMTN SYST 1,1111,03,FS2007,CAFNR,"STRID,MARC BENNETT",4,4,3,0,0,3.091
AGRIC,CMPTNG & INFORMTN SYST 1,1111,04,FS2007,CAFNR,"STRID,MARC BENNETT",6,6,2,0,0,3.286
AGRIC,FOUND F/COLLEGE SUCCESS,1115,01,FS2007,CAFNR,"GARTON,BRYAN L",19,7,2,0,1,3.431
AGRIC,FOUND F/COLLEGE SUCCESS,1115,02,FS2007,CAFNR,"GARTON,BRYAN L",8,3,0,2,1,3.05
AGRIC,INTERNTL AG/NAT RESOURCE,2190,01,FS2007,CAFNR,"ROBINSON,ROY ELLIS",8,12,5,2,1,2.921
AGRIC,INTERNTL AG/NAT RESOURCE,2190,06,FS2007,CAFNR,"ROBINSON,ROY ELLIS",14,1,0,0,0,3.933
AG_EC,INTRO TO AGRIBUSN MNGMT,1010,01,FS2007,CAFNR,"DAUVE,JAN L",16,0,0,0,0,3.981
AG_EC,APPLIED MICROECONOMICS,1041,01,FS2007,CAFNR,"DAUVE,JAN L",63,78,109,8,8,2.678
AG_EC,APPLIED MICROECONOMICS,1041,02,FS2007,CAFNR,"DAUVE,JAN L",53,57,74,5,10,2.695
