Course Dept,Course Title,Course Number,Section Number,Term,AU,Instructor,A Range,B Range,C Range,D Range,F Range, Avg Grade
AAE,ECON OF INST & ORGANZ,8050,01,FS2020,CAFNR,"JAMES,HARVEY S",12,0,0,0,0,3.95
AAE,AGRICULTURAL & FOOD POLI,8265,01,FS2020,CAFNR,"HOANG,HOA THI KHANH",10,0,0,0,0,3.97
ABM,INTRO TO AGRIBUSN MNGMT,1010,01,FS2020,CAFNR,"SKEVAS,THEODOROS",36,10,1,2,1,3.56
ABM,APPLIED MICROECONOMICS,1041,01,FS2020,CAFNR,"JAMES,HARVEY S",65,47,13,4,0,3.339
ABM,APPLIED MICROECONOMICS,1041,02,FS2020,CAFNR,"PALACIOS RIVERA,JAMILLE",34,52,29,9,4,2.812
ABM,APPLIED MACROECONOMICS,1042,01,FS2020,CAFNR,"PALACIOS RIVERA,JAMILLE",16,11,5,2,3,2.922
ABM,APPLIED COMPUTER APP,1200,01,FS2020,CAFNR,"PALACIOS RIVERA,JAMILLE",64,21,5,0,2,3.566
ABM,ENVIRONMNT ECON & POLICY,2070W,01,FS2020,CAFNR,"MCCANN,LAURA M J",15,20,15,0,1,2.924
ABM,AG MARKETING SYSTEM,2183,01,FS2020,CAFNR,"KRUSE,JOHN R",30,17,3,1,2,3.296
ABM,AGRICULTURAL SALES,2223,01,FS2020,CAFNR,"SOWERS,LINDA FRANZ",39,26,11,1,2,3.219
ABM,GENERAL FARM MANAGEMENT,3260,01,FS2020,CAFNR,"MASSEY,RAYMOND E",10,18,23,4,0,2.564
ABM,INTRNTL FD TRADE & POLCY,3272,01,FS2020,CAFNR,"MOORE,KEVIN C",3,15,4,1,0,2.87
ABM,FUND ENTREPRENEURSHIP,3283,01,FS2020,CAFNR,"WESTGREN,RANDALL EDWARD",26,13,5,2,0,3.285
ABM,PROFESSIONAL SELLING,4223,01,FS2020,CAFNR,"SOWERS,LINDA FRANZ",12,6,0,0,0,3.583
ABM,AGRIBUS MNGMNT STRATG -,4971W,01,FS2020,CAFNR,"SYKUTA,MICHAEL E",12,14,2,0,0,3.293
ACCTCY,INTRO TO ACCOUNTING,2010,01,FS2020,CBUSN,"RUNYAN,BRUCE WAYNE",25,45,21,4,2,2.857
ACCTCY,INTRO TO ACCOUNTING,2010,02,FS2020,CBUSN,"RUNYAN,BRUCE WAYNE",31,49,36,14,8,2.554
ACCTCY,ACCOUNTING 1,2026,01,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",3,5,16,1,2,2.256
ACCTCY,ACCOUNTING 1,2036,AA,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",4,15,10,5,0,2.521
ACCTCY,ACCOUNTING 1,2036,B,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",6,6,17,1,2,2.425
ACCTCY,ACCOUNTING 1,2036,BB,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",4,14,13,3,0,2.612
ACCTCY,ACCOUNTING 1,2036,C,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",9,12,7,4,0,2.691
ACCTCY,ACCOUNTING 1,2036,D,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",7,19,10,2,0,2.855
ACCTCY,ACCOUNTING 1,2036,E,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",9,10,13,6,0,2.555
ACCTCY,ACCOUNTING 1,2036,F,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",8,14,11,2,0,2.843
ACCTCY,ACCOUNTING 1,2036,G,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",4,14,11,3,0,2.594
ACCTCY,ACCOUNTING 1,2036,H,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",1,22,11,4,0,2.566
ACCTCY,ACCOUNTING 1,2036,J,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",3,13,13,2,0,2.568
ACCTCY,ACCOUNTING 1,2036,K,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",5,12,13,8,1,2.362
ACCTCY,ACCOUNTING 1,2036,L,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",8,9,10,6,2,2.403
ACCTCY,ACCOUNTING 1,2036,M,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",6,20,5,2,1,2.806
ACCTCY,ACCOUNTING 1,2036,N,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",6,11,16,1,0,2.629
ACCTCY,ACCOUNTING 1,2036,P,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",7,12,11,1,3,2.515
ACCTCY,ACCOUNTING 1,2036,R,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",11,15,7,0,1,3.003
ACCTCY,ACCOUNTING 1,2036,S,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",4,17,10,2,1,2.618
ACCTCY,ACCOUNTING 1,2036,T,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",6,18,9,4,1,2.679
ACCTCY,ACCOUNTING 1,2036,U,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",5,11,16,4,0,2.447
ACCTCY,ACCOUNTING 1,2036,V,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",8,16,10,2,1,2.773
ACCTCY,ACCOUNTING 1,2036,W,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",12,10,7,3,0,2.931
ACCTCY,ACCOUNTING 1,2036,X,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",4,15,13,3,1,2.567
ACCTCY,ACCOUNTING 1,2036,Z,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",10,11,13,1,2,2.759
ACCTCY,ACCOUNTING 2,2037,A,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",10,10,5,5,0,2.753
ACCTCY,ACCOUNTING 2,2037,B,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",12,13,7,0,0,3.081
ACCTCY,ACCOUNTING 2,2037,C,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",16,9,8,1,0,3.15
ACCTCY,ACCOUNTING 2,2037,D,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",5,16,6,4,0,2.71
ACCTCY,ACCOUNTING 2,2037,E,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",4,8,12,3,0,2.481
ACCTCY,ACCOUNTING 2,2037,F,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",8,12,10,1,0,2.9
ACCTCY,ACCOUNTING 2,2037,G,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",9,8,6,4,1,2.586
ACCTCY,ACCOUNTING 2,2037,H,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",5,11,11,1,1,2.672
ACCTCY,ACCOUNTING 2,2037,J,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",9,9,7,4,1,2.67
ACCTCY,ACCOUNTING 2,2037,K,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",2,13,8,5,0,2.439
ACCTCY,ACCOUNTING 2,2037,L,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",3,7,13,5,1,2.238
ACCTCY,ACCOUNTING 2,2037,M,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",3,10,14,1,0,2.557
ACCTCY,ACCOUNTING 2,2037,N,FS2020,CBUSN,"GINGRICH,KARI MICHELLE",4,14,10,1,0,2.755
ACCTCY,COMP-BASED DATA SYSTEMS,2258,01,FS2020,CBUSN,"HOCKMAN,KRISTEN MICHELL",87,71,38,2,4,3.175
ACCTCY,COMP-BASED DATA SYSTEMS,2258,02,FS2020,CBUSN,"HOCKMAN,KRISTEN MICHELL",149,83,30,5,2,3.392
ACCTCY,COMP-BASED DATA SYSTEMS,2258,18,FS2020,CBUSN,"HOCKMAN,KRISTEN MICHELL",15,18,12,0,2,2.936
ACCTCY,FIN ACCT THRY & PRACT 1,3326,01,FS2020,CBUSN,"PAWLICZEK,ANDREA CHRIST",17,18,3,0,1,3.344
ACCTCY,FIN ACCT THRY & PRACT 1,3326,02,FS2020,CBUSN,"GLENDENING,MATTHEW",12,23,2,0,0,3.319
ACCTCY,FIN ACCT THRY & PRACT 1,3326,03,FS2020,CBUSN,"PAWLICZEK,ANDREA CHRIST",15,19,2,0,1,3.238
ACCTCY,FIN ACCT THRY & PRACT 1,3326,04,FS2020,CBUSN,"GLENDENING,MATTHEW",9,24,3,0,2,3.063
ACCTCY,FIN ACCT THRY & PRACT 1,3326,05,FS2020,CBUSN,"PAWLICZEK,ANDREA CHRIST",4,19,7,0,3,2.582
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,01,FS2020,CBUSN,"HOCKMAN,KRISTEN MICHELL",19,19,2,0,0,3.328
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,02,FS2020,CBUSN,"BAER,LEAH M",12,20,5,0,0,3.157
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,03,FS2020,CBUSN,"BAER,LEAH M",8,28,2,0,1,3.038
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,04,FS2020,CBUSN,"HOCKMAN,KRISTEN MICHELL",9,21,7,0,0,3.005
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,05,FS2020,CBUSN,"BAER,LEAH M",8,23,5,0,0,3.092
ACCTCY,COST & MANAGERIAL ACCT,3347,01,FS2020,CBUSN,"CHY,MAHAFUZUR RAHAMAN",16,15,3,0,0,3.356
ACCTCY,COST & MANAGERIAL ACCT,3347,02,FS2020,CBUSN,"CHY,MAHAFUZUR RAHAMAN",19,9,2,0,0,3.427
ACCTCY,COST & MANAGERIAL ACCT,3347,03,FS2020,CBUSN,"RUNYAN,BRUCE WAYNE",9,13,2,1,0,3.14
ACCTCY,COST & MANAGERIAL ACCT,3347,04,FS2020,CBUSN,"RUNYAN,BRUCE WAYNE",9,9,8,0,0,2.935
ACCTCY,COST & MANAGERIAL ACCT,3347,05,FS2020,CBUSN,"CHY,MAHAFUZUR RAHAMAN",11,12,6,0,0,3.172
ACCTCY,FINANCIAL ACCT CONCEPTS,4356,01,FS2020,CBUSN,"STANSFIELD,JOHN J",47,32,17,1,3,3.178
ACCTCY,FINANCIAL ACCT CONCEPTS,4356,02,FS2020,CBUSN,"PRESTIGIACOMO,CARL CHRI",1,26,15,1,0,2.607
ACCTCY,AUDIT THEORY & PRACT 1,4384,01,FS2020,CBUSN,"CZERNEY,KEITH ROBERT",9,15,0,0,0,3.363
ACCTCY,AUDIT THEORY & PRACT 1,4384,02,FS2020,CBUSN,"CZERNEY,KEITH ROBERT",5,20,0,0,0,3.308
